Keyword,Cluster,Intent,Audience,Primary URL,Content Type,Location,Business Value,Conversion Potential,Priority,Status
"robo soccer competition","robo-soccer","competition","students-colleges","/events/competition/robo-soccer","event-guide","global","high","7","P1","mapped"
"robo soccer competition india","robo-soccer","competition","students-colleges","/events/competition/robo-soccer","event-guide","india","high","7","P1","mapped"
"college robo soccer competition","robo-soccer","competition","students-colleges","/events/competition/robo-soccer","event-guide","global","high","7","P1","mapped"
"engineering college robo soccer","robo-soccer","competition","students-colleges","/events/competition/robo-soccer","event-guide","global","high","7","P1","mapped"
"national robo soccer tournament","robo-soccer","competition","students-colleges","/events/competition/robo-soccer","event-guide","india","high","7","P1","mapped"
"robo soccer rules and regulations","robo-soccer","informational","students-colleges","/events/competition/robo-soccer","event-guide","global","high","7","P1","mapped"
"robo soccer arena dimensions","robo-soccer","informational","students-colleges","/events/competition/robo-soccer","event-guide","global","high","7","P1","mapped"
"how to prepare for robo soccer","robo-soccer","informational","students-colleges","/events/competition/robo-soccer","event-guide","global","high","7","P1","mapped"
"robo soccer match guidelines","robo-soccer","informational","students-colleges","/events/competition/robo-soccer","event-guide","global","high","7","P1","mapped"
"rc robo soccer tournament","robo-soccer","competition","students-colleges","/events/competition/robo-soccer","event-guide","global","high","7","P1","mapped"
"robo race competition","robo-race","competition","students-colleges","/events/competition/robo-race","event-guide","global","high","7","P1","mapped"
"robo race competition india","robo-race","competition","students-colleges","/events/competition/robo-race","event-guide","india","high","7","P1","mapped"
"robot race event","robo-race","competition","students-colleges","/events/competition/robo-race","event-guide","global","high","7","P1","mapped"
"college robo race challenge","robo-race","competition","students-colleges","/events/competition/robo-race","event-guide","global","high","7","P1","mapped"
"robo race track specifications","robo-race","informational","students-colleges","/events/competition/robo-race","event-guide","global","high","7","P1","mapped"
"robo race rules engineering","robo-race","informational","students-colleges","/events/competition/robo-race","event-guide","global","high","7","P1","mapped"
"all terrain robo race competition","robo-race","competition","students-colleges","/events/competition/robo-race","event-guide","global","high","7","P1","mapped"
"high speed robot race competition","robo-race","competition","students-colleges","/events/competition/robo-race","event-guide","global","high","7","P1","mapped"
"robo race technical inspection","robo-race","informational","students-colleges","/events/competition/robo-race","event-guide","global","high","7","P1","mapped"
"line follower competition","line-follower","competition","students-colleges","/events/competition/line-follower","event-guide","global","high","7","P1","mapped"
"line follower competition india","line-follower","competition","students-colleges","/events/competition/line-follower","event-guide","india","high","7","P1","mapped"
"autonomous line follower event","line-follower","competition","students-colleges","/events/competition/line-follower","event-guide","global","high","7","P1","mapped"
"college line follower contest","line-follower","competition","students-colleges","/events/competition/line-follower","event-guide","global","high","7","P1","mapped"
"line follower track rules","line-follower","informational","students-colleges","/events/competition/line-follower","event-guide","global","high","7","P1","mapped"
"pid line follower competition","line-follower","competition","students-colleges","/events/competition/line-follower","event-guide","global","high","7","P1","mapped"
"high speed line follower event","line-follower","competition","students-colleges","/events/competition/line-follower","event-guide","global","high","7","P1","mapped"
"line follower arena specifications","line-follower","informational","students-colleges","/events/competition/line-follower","event-guide","global","high","7","P1","mapped"
"robo war competition","robo-war","competition","students-colleges","/events/competition/robo-war","event-guide","global","high","7","P1","mapped"
